,,,,,,,,,,,,
"Luas Tanam Kapas Menurut Provinsi di Indonesia, 2014-2021",,,,,,,,,,,,
"Cotton Planted by Province in Indonesia, 2014-2021",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,(Ha),,
No.,Provinsi/Province,,,,,,,,,Pertumbuhan/,,
,,,,,,,,,,Growth,,
,,2014,2015,2016,2017,2018,2019,2020*),2021**),2019 over 2018,,
,,,,,,,,,,(%),,
,,,,,,,,,,,,
1,Aceh, - , - , - , - , - , - , - , - , - ,,
2,Sumatera Utara, - , - , - , - , - , - , - , - , - ,,
3,Sumatera Barat, - , - , - , - , - , - , - , - , - ,,
4,Riau, - , - , - , - , - , - , - , - , - ,,
5,Kepulauan Riau, - , - , - , - , - , - , - , - , - ,,
6,Jambi, - , - , - , - , - , - , - , - , - ,,
7,Sumatera Selatan, - , - , - , - , - , - , - , - , - ,,
8,Kepulauan Bangka Belitung, - , - , - , - , - , - , - , - , - ,,
9,Bengkulu, - , - , - , - , - , - , - , - , - ,,
10,Lampung, - , - , - , - , - , - , - , - , - ,,
11,DKI Jakarta, - , - , - , - , - , - , - , - , - ,,
12,Jawa Barat, - , - , - , - , - , - , - , - , - ,,
13,Banten, - , - , - , - , - , - , - , - , - ,,
14,Jawa Tengah, 154 , 102 , 203 , 145 , 140 , 157 , 131 , 131 ,12.14,,
15,DI. Yogyakarta, 18 , - , - , - , 100 , 150 , 100 , - ,50.00,,
16,Jawa Timur, 336 , 394 , 152 , 59 , 128 , 48 , - , - ,-62.50,,
17,Bali, 150 , 100 , 80 , -   , 250 , 15 , -   , 20 ,-94.08,,
18,Nusa Tenggara Barat, 136 , 100 , 200 , 55 , 945 , 205 , -   , -   ,-78.31,,
19,Nusa Tenggara Timur, 63 , 228 , 95 , 89 , 113 , 123 , 147 , 162 ,8.85,,
20,Kalimantan Barat, - , - , - , - , - , - , - , - , - ,,
21,Kalimantan Tengah, - , - , - , - , - , - , - , - , - ,,
22,Kalimantan Selatan, - , - , - , - , - , - , - , - , - ,,
23,Kalimantan Timur, - , - , - , - , - , - , - , - , - ,,
24,Kalimantan Utara, - , - , - , - , - , - , - , - , - ,,
25,Sulawesi Utara, - , - , - , - , - , - , - , - , - ,,
26,Gorontalo, - , - , - , - , - , - , - , - , - ,,
27,Sulawesi Tengah, - , - , - , - , - , - , - , - , - ,,
28,Sulawesi Selatan," 2,813 "," 5,195 "," 3,870 "," 3,248 "," 3,486 ", 922 , 325 , 968 ,-73.55,,
29,Sulawesi Barat, - , - , - , - , - , - , - , - , - ,,
30,Sulawesi Tenggara, - , - , - , - , - , - , - , - , - ,,
31,Maluku, - , - , - , - , - , - , - , - , - ,,
32,Maluku Utara, - , - , - , - , - , - , - , - , - ,,
33,Papua, - , - , - , - , - , - , - , - , - ,,
34,Papua Barat, - , - , - , - , - , - , - , - , - ,,
,,,,,,,,,,,,
,Indonesia,"3,670","6,118","4,600","3,596","5,162","1,620",703,"1,281",-68.62,,
,,,,,,,,,,,,
Sumber              :  Direktorat Jenderal Perkebunan,,,,,,,,,,,,
Source               : Directorate General of Estate,,,,,,,,,,,,
Keterangan    : *) Angka Sementara ,,,,,,,,,,,,
,            **) Angka Estimasi,,,,,,,,,,,
,             -) Data tidak tersedia,,,,,,,,,,,
Note               :  *) Preliminary figure,,,,,,,,,,,,
,           **) Estimation figure,,,,,,,,,,,
,         :  -) Data not available,,,,,,,,,,,
